paper_id;name;year
10158150;Designs, Codes and Cryptography;2003
10166594;Computing;1981
10194420;Games and Economic Behavior;2016
10211374;IEEE Transactions on Information Theory;2017
10242137;Reliable Computing;1998
10316023;Electronic Communication of The European Association of Software Science and Technology;2009
10330309;Advances in Computers;2012
10447511;Ars Combinatoria;2007
10532257;Photonic Network Communications;2000
10539125;Acta Informatica;1987
10544556;Annales Des Télécommunications;2002
10589464;Journal of Intelligent Manufacturing;1998
10647492;Sensors;2018
10705073;Journal of Universal Computer Science;1996
10710906;Neural, Parallel & Scientific Computations archive;2001
10720523;electronic imaging;2007
10764281;Journal of Scientific Computing;2000
10777306;Annales Des Télécommunications;2000
10798649;Computing;1978
10814118;Annales Des Télécommunications;2003
10866776;Distributed and Parallel Databases;1999
10879606;Acta Cybernetica;2004
10935558;Wireless Networks;1999
10993888;Scandinavian Journal of Information Systems;1999
11016321;TCDL Bulletin;2007
11050434;Synthese;1994
11093695;Journal of Scientific Computing;2000
11125969;Journal of Computational and Applied Mathematics;2017
11173561;Fundamenta Informaticae;2005
11186253;Annals of Operations Research;2002
11225822;Quantum Information & Computation;2007
11242719;International Journal of Wireless Information Networks;2002
11272930;Annual Reviews in Control;2003
11332679;Computing;1978
11339335;Journal of Information Science and Engineering;2002
11401934;Scandinavian Journal of Information Systems;2008
11450473;British Telecom technology journal;1990
11452181;Annals of Operations Research;2000
11522892;Computing;1988
11524376;Reliable Computing;2003
11525234;Computing;1992
11745342;Journal of Integrated Design & Process Science archive;2001
11771210;Electronic Commerce Research;2003
11785173;Communications of The Ais;2002
11809405;Operations Research;2018
11814621;Educational Technology & Society;2003
11855197;American Mathematical Monthly;2010
11875404;Graphs and Combinatorics;1993
11888698;Electronic Colloquium on Computational Complexity;2009
11926210;Cognitive Science;2013
11968805;Computer-Aided Engineering;2006
12023602;Wireless Networks;1998
12058999;Computing;1979
12086526;Journal of Global Optimization;2003
12188838;Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications;2014
12189634;International Journal of Electronic Commerce;2005
12208184;Annales Des Télécommunications;2002
12256183;International Journal on Software Tools for Technology Transfer;2001
12348779;Psychnology Journal;2009
12454259;International Journal of Network Security;2011
12472317;Photonic Network Communications;2004
12525715;European Journal of Operational Research;2018
12532419;Journal of Mathematical Imaging and Vision;2001
12569517;Communications of The Ais;2001
12579861;Journal of Discrete Algorithms;2016
12623182;International Journal of Network Security;2010
12623592;Journal of Intelligent Manufacturing;1998
12655809;Programming and Computer Software;2003
12673443;Photonic Network Communications;1999
12748326;Computing and Informatics / Computers and Artificial Intelligence;1999
12791606;Wireless Personal Communications;2003
12813696;Journal of Automata, Languages and Combinatorics;2001
12814185;Computing and Informatics / Computers and Artificial Intelligence;2011
12915782;International Journal of Knowledge-based and Intelligent Engineering Systems;2006
12935611;Graphs and Combinatorics;2016
12955791;Applied statistics;1979
13002960;Applied Categorical Structures;2001
13007177;Journal of Information Technology in Construction;2006
13009116;Photonic Network Communications;2000
13021155;Electronic Colloquium on Computational Complexity;2006
13075029;Journal of Information Technology;1996
13098871;International Journal of Enterprise Information Systems;2012
13102741;Reliable Computing;1996
13166459;International Journal of Information and Communication Technology;2016
13244546;Journal of Management Information Systems;1987
13248295;Space Communications;2000
13269089;Elektrotechnik Und Informationstechnik;2011
13307687;Journal of Functional Programming;1991
13359656;Informing Science The International Journal of an Emerging Transdiscipline;2005
13400523;American Mathematical Monthly;2010
13417502;Ldv Forum;2007
13419052;Journal of Automata, Languages and Combinatorics;2005
13501734;International Journal of Computers Communications & Control;2010
13559306;Annals of Operations Research;2002
13586465;Reliable Computing;2002
13621946;Communications of The Ais;2010
13655628;Annals of Operations Research;1999
13671444;Informatica (lithuanian Academy of Sciences);2010
13707273;Electronic Communication of The European Association of Software Science and Technology;2012
13743498;Neural, Parallel & Scientific Computations archive;2010
13749590;Reliable Computing;2003
13810807;Computing;1979
13834261;The Journal of Supercomputing;2003
13866032;Lecture Notes in Computer Science;2004
13877772;Annals of Operations Research;2002
13884677;Computing;1987
13966537;Journal of Intelligent Manufacturing;2003
14050270;Journal of Universal Computer Science;2001
14074778;Numerical Algorithms;2000
14075409;Computing;1980
14091147;Computing;1993
14123280;Bulletin of The European Association for Theoretical Computer Science;2010
14145652;Information polity;2007
14178847;IEEE Robotics & Automation Magazine;2015
14270285;Computing;1989
14287234;Quantum Information & Computation;2006
14299179;Communications of The Ais;2014
14320823;IACR Cryptology ePrint Archive;2005
14324141;IEEE Data(base) Engineering Bulletin;2009
14350660;Cognitive Science;2014
14350830;Computational and Mathematical Organization Theory;1999
14421263;Designs, Codes and Cryptography;2003
14442854;Journal of Universal Computer Science;2009
14518443;Journal of Intelligent Manufacturing;2003
14620883;IFAC Proceedings Volumes;2007
14668946;Neural, Parallel & Scientific Computations archive;2009
14702740;Information Systems Frontiers;2003
14705095;Elektrotechnik Und Informationstechnik;2007
14835067;Ubiquity;2010
14967078;Journal of the Institute of Electronics Engineers of Korea;2013
14974408;Multimedia Tools and Applications;2003
15061074;Management Information Systems Quarterly;2011
15111315;Elektrotechnik Und Informationstechnik;2014
15113989;Acta Cybernetica;2010
15194010;Wirtschaftsinformatik und Angewandte Informatik;2003
15202680;Computer-Aided Engineering;1998
15264954;Journal of Intelligent Manufacturing;1998
15266665;Scandinavian Journal of Information Systems;1994
15302468;IEEE Data(base) Engineering Bulletin;2003
15306499;Computing and Informatics / Computers and Artificial Intelligence;2010
15461521;Annales Des Télécommunications;1998
15483758;Digital Signal Processing;2018
15601795;Journal of Global Optimization;2003
15772223;Computational Optimization and Applications;2001
15911136;Journal of Nonlinear Science;2002
15943852;International Journal of Interactive Mobile Technologies (ijim);2008
15985222;Nordic Journal of Computing;1996
16033652;Photonic Network Communications;2003
16034824;Applied Mathematics Letters;2011
16048635;Control and Intelligent Systems;2009
16083123;Journal of Computer Science and Technology;1993
16083219;Manufacturing & Service Operations Management;2017
16099810;Computing;1987
16104842;Reliable Computing;1997
16121277;IACR Cryptology ePrint Archive;2004
16144991;Artificial Intelligence;1983
16226705;Journal of Intelligent Manufacturing;2002
16279108;Studies in health technology and informatics;2004
16316369;International Journal of Wireless Information Networks;1999
16343922;Wireless Networks;1998
16367584;Electronic Journal of Combinatorics;2015
16379709;International Journal of Intelligent Technologies and Applied Statistics;2011
16444800;International Journal of Computers Communications & Control;2006
16475425;Annals of Operations Research;2002
16502945;Information Polity archive;2006
16530412;Elektrotechnik Und Informationstechnik;2010
16530740;Computing in Civil Engineering;2004
16585136;Annales Des Télécommunications;2004
16598917;International Journal of Parallel Programming;2003
16633610;Fuzzy Sets and Systems;1997
16660605;Cognition, Technology & Work;2003
16706082;Computing;1984
16708063;Annales Des Télécommunications;2014
16710577;Design Automation for Embedded Systems;1998
16717595;Journal of Global Optimization;2003
16833031;Nordic Journal of Computing;1996
16833373;Journal of Universal Computer Science;2004
16864438;Wirtschaftsinformatik und Angewandte Informatik;2006
16952281;Computational Optimization and Applications;1999
16960563;Foundations of Computational Mathematics;2003
16978634;Communications of The Ais;2006
16995082;Computer Supported Cooperative Work;1992
17034829;Neural, Parallel & Scientific Computations archive;2008
17040717;International Journal of Network Security;2009
17148407;International Journal of Computers for Mathematical Learning;1996
17191477;Advances in Computers;2012
17192850;Journal of Automata, Languages and Combinatorics;2009
17213728;Computing;1981
17252021;IEEE Data(base) Engineering Bulletin;2005
17261976;IEEE Transactions on Instrumentation and Measurement;2014
17329447;Journal of Multimedia;2010
17344140;Annals of Operations Research;2002
